table_schema,table_name,column_name,data_type
auth,audit_log_entries,instance_id,uuid
auth,audit_log_entries,id,uuid
auth,audit_log_entries,payload,json
auth,audit_log_entries,created_at,timestamp with time zone
auth,audit_log_entries,ip_address,character varying
auth,flow_state,id,uuid
auth,flow_state,user_id,uuid
auth,flow_state,auth_code,text
auth,flow_state,code_challenge_method,USER-DEFINED
auth,flow_state,code_challenge,text
auth,flow_state,provider_type,text
auth,flow_state,provider_access_token,text
auth,flow_state,provider_refresh_token,text
auth,flow_state,created_at,timestamp with time zone
auth,flow_state,updated_at,timestamp with time zone
auth,flow_state,authentication_method,text
auth,flow_state,auth_code_issued_at,timestamp with time zone
auth,identities,provider_id,text
auth,identities,user_id,uuid
auth,identities,identity_data,jsonb
auth,identities,provider,text
auth,identities,last_sign_in_at,timestamp with time zone
auth,identities,created_at,timestamp with time zone
auth,identities,updated_at,timestamp with time zone
auth,identities,email,text
auth,identities,id,uuid
auth,instances,id,uuid
auth,instances,uuid,uuid
auth,instances,raw_base_config,text
auth,instances,created_at,timestamp with time zone
auth,instances,updated_at,timestamp with time zone
auth,mfa_amr_claims,session_id,uuid
auth,mfa_amr_claims,created_at,timestamp with time zone
auth,mfa_amr_claims,updated_at,timestamp with time zone
auth,mfa_amr_claims,authentication_method,text
auth,mfa_amr_claims,id,uuid
auth,mfa_challenges,id,uuid
auth,mfa_challenges,factor_id,uuid
auth,mfa_challenges,created_at,timestamp with time zone
auth,mfa_challenges,verified_at,timestamp with time zone
auth,mfa_challenges,ip_address,inet
auth,mfa_challenges,otp_code,text
auth,mfa_challenges,web_authn_session_data,jsonb
auth,mfa_factors,id,uuid
auth,mfa_factors,user_id,uuid
auth,mfa_factors,friendly_name,text
auth,mfa_factors,factor_type,USER-DEFINED
auth,mfa_factors,status,USER-DEFINED
auth,mfa_factors,created_at,timestamp with time zone
auth,mfa_factors,updated_at,timestamp with time zone
auth,mfa_factors,secret,text
auth,mfa_factors,phone,text
auth,mfa_factors,last_challenged_at,timestamp with time zone
auth,mfa_factors,web_authn_credential,jsonb
auth,mfa_factors,web_authn_aaguid,uuid
auth,oauth_clients,id,uuid
auth,oauth_clients,client_id,text
auth,oauth_clients,client_secret_hash,text
auth,oauth_clients,registration_type,USER-DEFINED
auth,oauth_clients,redirect_uris,text
auth,oauth_clients,grant_types,text
auth,oauth_clients,client_name,text
auth,oauth_clients,client_uri,text
auth,oauth_clients,logo_uri,text
auth,oauth_clients,created_at,timestamp with time zone
auth,oauth_clients,updated_at,timestamp with time zone
auth,oauth_clients,deleted_at,timestamp with time zone
auth,one_time_tokens,id,uuid
auth,one_time_tokens,user_id,uuid
auth,one_time_tokens,token_type,USER-DEFINED
auth,one_time_tokens,token_hash,text
auth,one_time_tokens,relates_to,text
auth,one_time_tokens,created_at,timestamp without time zone
auth,one_time_tokens,updated_at,timestamp without time zone
auth,refresh_tokens,instance_id,uuid
auth,refresh_tokens,id,bigint
auth,refresh_tokens,token,character varying
auth,refresh_tokens,user_id,character varying
auth,refresh_tokens,revoked,boolean
auth,refresh_tokens,created_at,timestamp with time zone
auth,refresh_tokens,updated_at,timestamp with time zone
auth,refresh_tokens,parent,character varying
auth,refresh_tokens,session_id,uuid
auth,saml_providers,id,uuid
auth,saml_providers,sso_provider_id,uuid
auth,saml_providers,entity_id,text
